,日期,收盘,开盘,高,低,交易量,涨跌幅
0,2022年3月22日,42901,41011,43319,40886,4.59K,4.56%
1,2022年3月21日,41031,41264,41535,40544,2.62K,-0.53%
2,2022年3月20日,41249,42213,42292,40933,1.81K,-2.29%
3,2022年3月19日,42214,41774,42373,41491,2.14K,1.05%
4,2022年3月18日,41774,40942.6,42333,40236,3.77K,2.03%
5,2022年3月17日,40942.6,41148,41451,40553,2.29K,-0.50%
6,2022年3月16日,41148,39316.6,41728,38974,8.54K,4.66%
7,2022年3月15日,39317,39717.9,39886.9,38212,5.30K,-1.01%
8,2022年3月14日,39717,37777.1,39977,37570,8.05K,5.14%
9,2022年3月13日,37777.1,38816.3,39314,37592,3.42K,-2.68%
10,2022年3月12日,38816.3,38737,39397,38679,1.81K,0.20%
11,2022年3月11日,38737,39458.5,40228,38236.4,9.57K,-1.83%
12,2022年3月10日,39458.5,41964,42069,38646,6.67K,-5.97%
13,2022年3月9日,41962.3,38757,42593,38692.5,5.96K,8.27%
14,2022年3月8日,38757,38039,39385.1,37906,5.51K,1.89%
15,2022年3月7日,38039,38437,39559,37198,6.78K,-1.04%
16,2022年3月6日,38437,39408,39715,38151,3.37K,-2.46%
17,2022年3月5日,39408,39171,39628,38680,2.19K,0.61%
18,2022年3月4日,39171,42489,42559,38621,6.38K,-7.81%
19,2022年3月3日,42490,43952,44103,41862,3.89K,-3.33%
20,2022年3月2日,43952,44442,45326,43386,5.57K,-1.10%
21,2022年3月1日,44442,43202,44939,42878,6.34K,2.87%
22,2022年2月28日,43202,37734,44198,37502,8.45K,14.49%
23,2022年2月27日,37734,39137.1,39888,37067.1,5.48K,-3.56%
24,2022年2月26日,39125,39243,40274,38633,3.59K,-0.30%
25,2022年2月25日,39243,38380,39717,38071.1,6.43K,2.25%
26,2022年2月24日,38380,37292,39716,34435,17.88K,2.92%
27,2022年2月23日,37292,38299,39270,37142,5.81K,-2.63%
28,2022年2月22日,38299,37060.9,38475,36404,6.20K,3.36%
